nome_da_imagem,categoria_detectada,acuracia
Corn_(maize)___Northern_Leaf_Blight_035ce877-baf8-4ce2-b7c4-d262c577d628___RS_NLB 3934.JPG,doente,0.9492
Corn_(maize)___Northern_Leaf_Blight_035ce877-baf8-4ce2-b7c4-d262c577d628___RS_NLB 3934_180deg.JPG,doente,0.9988
Corn_(maize)___Northern_Leaf_Blight_035ce877-baf8-4ce2-b7c4-d262c577d628___RS_NLB 3934_flipTB.JPG,doente,0.9995
Corn_(maize)___Northern_Leaf_Blight_03c49c3c-6b9a-4253-b496-c9d5bcd819a9___RS_NLB 4249.JPG,doente,0.9953
Corn_(maize)___Northern_Leaf_Blight_03c4fb76-81ce-4430-9927-9df7aad2c9e3___RS_NLB 3602.JPG,doente,0.9994
Corn_(maize)___Northern_Leaf_Blight_04d8e1d6-766e-4fcc-9bac-42efb9e6ad33___RS_NLB 3620.JPG,doente,0.9994
Corn_(maize)___Northern_Leaf_Blight_050342b4-44fa-4fba-8c56-88e3b575a78e___RS_NLB 3887_180deg.JPG,doente,1.0
Grape___Black_rot_00090b0f-c140-4e77-8d20-d39f67b75fcc___FAM_B.Rot 0376_flipLR.JPG,doente,0.9983
Grape___Black_rot_003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184_flipLR.JPG,doente,0.9975
Grape___Black_rot_004175d8-dc74-4285-8401-3cc9565730bb___FAM_B.Rot 0626.JPG,doente,0.9667
Grape___Black_rot_004175d8-dc74-4285-8401-3cc9565730bb___FAM_B.Rot 0626_flipLR.JPG,doente,0.987
Grape___Black_rot_006efc68-9e46-4168-921c-10ef8065702c___FAM_B.Rot 3470.JPG,doente,0.9402
Grape___Black_rot_006efc68-9e46-4168-921c-10ef8065702c___FAM_B.Rot 3470_flipLR.JPG,doente,0.9518
Grape___Black_rot_00905d40-bddf-460e-b348-1dbb6a34653b___FAM_B.Rot 0664_flipLR.JPG,doente,0.9378
Grape___Black_rot_0093ee81-2439-414c-bfb5-a5b6cd6aea72___FAM_B.Rot 3429.JPG,doente,0.9939
Grape___Black_rot_00cab05d-e87b-4cf6-87d8-284f3ec99626___FAM_B.Rot 3244.JPG,doente,0.9257
Grape___Black_rot_00cab05d-e87b-4cf6-87d8-284f3ec99626___FAM_B.Rot 3244_flipLR.JPG,doente,0.8969
Grape___Black_rot_00cff577-afd4-4e36-ac9c-a52aa6ae5949___FAM_B.Rot 0508.JPG,doente,0.8072
Grape___Black_rot_00cff577-afd4-4e36-ac9c-a52aa6ae5949___FAM_B.Rot 0508_flipLR.JPG,doente,0.8487
Grape___Black_rot_012658ed-f0a3-4791-a996-7115dd1e6e3b___FAM_B.Rot 3036.JPG,doente,0.9736
Grape___Black_rot_012658ed-f0a3-4791-a996-7115dd1e6e3b___FAM_B.Rot 3036_flipLR.JPG,doente,0.9844
Grape___Black_rot_017268b1-c25c-4299-a566-1b7ba3f1591e___FAM_B.Rot 3014.JPG,doente,0.8094
Grape___Black_rot_017268b1-c25c-4299-a566-1b7ba3f1591e___FAM_B.Rot 3014_flipLR.JPG,doente,0.7824
Grape___Black_rot_01d4aa8b-cc91-4475-b80c-b5b0ca10f1f6___FAM_B.Rot 3050.JPG,doente,0.9861
Grape___Black_rot_01d4aa8b-cc91-4475-b80c-b5b0ca10f1f6___FAM_B.Rot 3050_flipLR.JPG,doente,0.9938
Grape___Black_rot_02a1df6c-97ec-41d4-b00c-9510741a39dc___FAM_B.Rot 0552.JPG,doente,0.8445
Grape___Black_rot_02c0e019-97c2-48f5-ac40-90b8789e6288___FAM_B.Rot 0753.JPG,doente,0.9823
Grape___Black_rot_02c0e019-97c2-48f5-ac40-90b8789e6288___FAM_B.Rot 0753_flipLR.JPG,doente,0.9901
Grape___Black_rot_02e135dd-a02e-40a5-a049-4b5fa978445c___FAM_B.Rot 3063.JPG,doente,0.9416
Grape___Black_rot_02f75392-dbad-4ab8-a35d-d391f9d57113___FAM_B.Rot 3323.JPG,doente,0.9928
Grape___Black_rot_02f75392-dbad-4ab8-a35d-d391f9d57113___FAM_B.Rot 3323_flipLR.JPG,doente,0.9982
Grape___Black_rot_03423777-68b9-430e-9787-fbd776740881___FAM_B.Rot 0346.JPG,doente,0.9677
Grape___Black_rot_035ed95e-9c14-4096-8dce-21ae0970c6b6___FAM_B.Rot 3175.JPG,doente,0.8809
Grape___Black_rot_035ed95e-9c14-4096-8dce-21ae0970c6b6___FAM_B.Rot 3175_flipLR.JPG,doente,0.9007
Grape___Black_rot_03663632-d350-4f00-92f3-ca6ac2639b22___FAM_B.Rot 5102.JPG,doente,0.9962
Grape___Black_rot_03663632-d350-4f00-92f3-ca6ac2639b22___FAM_B.Rot 5102_flipLR.JPG,doente,0.9953
Grape___Black_rot_03a8e589-18ca-4596-8db7-ff1efe9b3b05___FAM_B.Rot 0755_flipLR.JPG,doente,0.9815
Grape___Esca_(Black_Measles)_0075b632-2e34-4e4f-9697-fe2b332b7ef8___FAM_B.Msls 4399.JPG,doente,0.9994
Grape___Esca_(Black_Measles)_00b65fe8-cee1-4b68-8ef4-1211814f2845___FAM_B.Msls 3990.JPG,doente,0.9515
Grape___Esca_(Black_Measles)_00c247e8-48d2-4a56-a9f3-4eacfb4d85be___FAM_B.Msls 4197.JPG,doente,0.9608
Grape___Esca_(Black_Measles)_01162551-b800-4df8-ac46-64d17d6ac5bf___FAM_B.Msls 1153.JPG,doente,0.9993
Grape___Esca_(Black_Measles)_011bb69d-fb9c-4fb9-b8cc-031e91270ec2___FAM_B.Msls 4288.JPG,doente,0.9946
Grape___Esca_(Black_Measles)_019afd88-6645-44c4-a5d2-bd583b877a50___FAM_B.Msls 1744.JPG,doente,0.9525
Grape___Esca_(Black_Measles)_019afd88-6645-44c4-a5d2-bd583b877a50___FAM_B.Msls 1744_flipLR.JPG,doente,0.9627
Grape___Esca_(Black_Measles)_02223cc6-30d2-408d-a091-65257d044a50___FAM_B.Msls 0908.JPG,doente,0.9948
Grape___Esca_(Black_Measles)_023df989-ab4c-4f66-a6c8-a41c1142ab7d___FAM_B.Msls 1834.JPG,doente,0.813
Grape___Esca_(Black_Measles)_025a9fa7-827a-43c3-a82f-66d9cbfb2055___FAM_B.Msls 4282_flipLR.JPG,doente,0.9885
Grape___Esca_(Black_Measles)_0279ec2c-5470-47e8-b1ba-79442bd323bb___FAM_B.Msls 4396.JPG,doente,0.9847
Grape___Esca_(Black_Measles)_0279ec2c-5470-47e8-b1ba-79442bd323bb___FAM_B.Msls 4396_flipLR.JPG,doente,0.9759
Grape___Esca_(Black_Measles)_0336e894-5963-4a7e-9b56-e802473ae4c5___FAM_B.Msls 1231.JPG,doente,0.9908
Grape___Esca_(Black_Measles)_0336e894-5963-4a7e-9b56-e802473ae4c5___FAM_B.Msls 1231_flipLR.JPG,doente,0.9915
Grape___Esca_(Black_Measles)_037b6ea5-3d81-4489-b7a3-1116ee2cc6e1___FAM_B.Msls 0944_flipLR.JPG,doente,0.9411
Grape___Esca_(Black_Measles)_03c1559d-52a2-455f-b682-5c3d266b05b7___FAM_B.Msls 3814.JPG,doente,0.9943
Grape___Esca_(Black_Measles)_0429d206-55e2-4e3c-8cc5-c7a590db9c11___FAM_B.Msls 1803.JPG,doente,0.9377
Grape___Esca_(Black_Measles)_0429d206-55e2-4e3c-8cc5-c7a590db9c11___FAM_B.Msls 1803_flipLR.JPG,doente,0.8457
Grape___Esca_(Black_Measles)_044a08aa-3868-4d50-af7c-8aa0c735e85a___FAM_B.Msls 4307.JPG,doente,0.9745
Grape___Esca_(Black_Measles)_044a08aa-3868-4d50-af7c-8aa0c735e85a___FAM_B.Msls 4307_flipLR.JPG,doente,0.9874
Grape___Esca_(Black_Measles)_048c9e5a-1e7f-4e50-b579-01d7c75b340f___FAM_B.Msls 4050.JPG,doente,0.9715
Grape___Esca_(Black_Measles)_048c9e5a-1e7f-4e50-b579-01d7c75b340f___FAM_B.Msls 4050_flipLR.JPG,doente,0.9728
Grape___Esca_(Black_Measles)_04bb8842-a90a-410b-a211-2cfb76735d8b___FAM_B.Msls 4289.JPG,doente,0.9952
Grape___Esca_(Black_Measles)_04f61deb-4a81-4527-8cb2-f656957595ce___FAM_B.Msls 1218.JPG,doente,0.9891
Grape___Esca_(Black_Measles)_0560b081-3467-4f76-9c00-895eb436a902___FAM_B.Msls 1733.JPG,doente,0.9941
Grape___Esca_(Black_Measles)_0560b081-3467-4f76-9c00-895eb436a902___FAM_B.Msls 1733_flipLR.JPG,doente,0.9957
Grape___Esca_(Black_Measles)_0598129d-b448-4576-9c66-650388302622___FAM_B.Msls 4097.JPG,saudavel,0.5003
Grape___Esca_(Black_Measles)_05ac9e47-e521-4677-9768-5bcb4e414ce1___FAM_B.Msls 3816.JPG,doente,0.991
Grape___Esca_(Black_Measles)_062d27c7-8c0f-4ed9-bd63-e506d9965281___FAM_B.Msls 4200.JPG,doente,0.9519
Grape___Esca_(Black_Measles)_062d27c7-8c0f-4ed9-bd63-e506d9965281___FAM_B.Msls 4200_flipLR.JPG,doente,0.9495
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0001aa74-bbd7-433b-a900-1dccab39d521___FAM_L.Blight 4508.JPG,doente,0.973
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0001aa74-bbd7-433b-a900-1dccab39d521___FAM_L.Blight 4508_flipLR.JPG,doente,0.9482
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0012e1ee-fde3-478f-ab27-18648feb2b05___FAM_L.Blight 1647.JPG,saudavel,0.5534
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0012e1ee-fde3-478f-ab27-18648feb2b05___FAM_L.Blight 1647_flipLR.JPG,saudavel,0.639
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_002e4d32-15cf-4350-bfba-dde7c8992392___FAM_L.Blight 4740.JPG,doente,0.9994
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_002e4d32-15cf-4350-bfba-dde7c8992392___FAM_L.Blight 4740_flipLR.JPG,doente,0.9941
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_00a962ad-573b-44b1-97ae-912a6bd6e0b0___FAM_L.Blight 1431.JPG,doente,0.9455
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_00a962ad-573b-44b1-97ae-912a6bd6e0b0___FAM_L.Blight 1431_flipLR.JPG,doente,0.959
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_00ed3cc2-020b-499f-a951-d772dea3b154___FAM_L.Blight 4653.JPG,doente,0.7954
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_00ed3cc2-020b-499f-a951-d772dea3b154___FAM_L.Blight 4653_flipLR.JPG,doente,0.5393
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_01445290-a36f-4435-9b7d-bd1a9d1ff79b___FAM_L.Blight 4626.JPG,doente,0.9927
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_01445290-a36f-4435-9b7d-bd1a9d1ff79b___FAM_L.Blight 4626_flipLR.JPG,doente,0.994
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_019e7c07-16e3-4584-baba-5d38defdfb2a___FAM_L.Blight 4742.JPG,doente,0.9988
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_019e7c07-16e3-4584-baba-5d38defdfb2a___FAM_L.Blight 4742_flipLR.JPG,doente,0.9979
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_01b04553-8472-40ce-9f00-8dff5a1a2777___FAM_L.Blight 4530.JPG,doente,0.9958
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_01b04553-8472-40ce-9f00-8dff5a1a2777___FAM_L.Blight 4530_flipLR.JPG,doente,0.9927
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_01cdbd4c-bd3e-4277-8e84-60700397daaf___FAM_L.Blight 4755.JPG,doente,0.9898
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_01cdbd4c-bd3e-4277-8e84-60700397daaf___FAM_L.Blight 4755_flipLR.JPG,doente,0.9908
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_01d00d79-98e1-46c2-90a9-52dcaeb895d2___FAM_L.Blight 4610.JPG,doente,0.7428
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_01d00d79-98e1-46c2-90a9-52dcaeb895d2___FAM_L.Blight 4610_flipLR.JPG,doente,0.7534
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0231ac9c-05aa-4710-8753-819c721b29b5___FAM_L.Blight 4639.JPG,doente,0.8818
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0231ac9c-05aa-4710-8753-819c721b29b5___FAM_L.Blight 4639_flipLR.JPG,doente,0.96
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0249d5d6-ca79-40a5-9cdb-3d72382e25e1___FAM_L.Blight 1392.JPG,doente,0.9803
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0249d5d6-ca79-40a5-9cdb-3d72382e25e1___FAM_L.Blight 1392_flipLR.JPG,doente,0.9872
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_02605da9-90bc-4456-ae3f-fa42d0b49c29___FAM_L.Blight 1504.JPG,doente,0.9957
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_02605da9-90bc-4456-ae3f-fa42d0b49c29___FAM_L.Blight 1504_flipLR.JPG,doente,0.995
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0285f30b-c22b-483c-be1d-9457bbddc4fa___FAM_L.Blight 1591.JPG,doente,0.9987
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_0285f30b-c22b-483c-be1d-9457bbddc4fa___FAM_L.Blight 1591_flipLR.JPG,doente,0.9945
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_039b45b1-015d-4f76-b393-140903468476___FAM_L.Blight 3713.JPG,doente,0.9992
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_039b45b1-015d-4f76-b393-140903468476___FAM_L.Blight 3713_flipLR.JPG,doente,0.998
Orange___Haunglongbing_(Citrus_greening)_01245345-5513-45d5-9990-2c5012a378f6___CREC_HLB 5672.JPG,doente,0.9538
Orange___Haunglongbing_(Citrus_greening)_01465751-00ee-4ec6-81cb-f9fe93bea61b___UF.Citrus_HLB_Lab 0110.JPG,doente,0.8702
Orange___Haunglongbing_(Citrus_greening)_0342765a-469b-4287-bdac-2c48875cc7f5___CREC_HLB 7706.JPG,doente,0.9205
Orange___Haunglongbing_(Citrus_greening)_037036c8-5396-48b2-b598-e08ef7b87d1d___UF.Citrus_HLB_Lab 1617.JPG,doente,0.589
Orange___Haunglongbing_(Citrus_greening)_03819839-72a2-49a7-8da0-8305de925246___CREC_HLB 6475.JPG,saudavel,0.5364
Orange___Haunglongbing_(Citrus_greening)_038657ea-9690-421c-b52d-0f4d3c4e6266___UF.Citrus_HLB_Lab 0001.JPG,doente,0.8464
Orange___Haunglongbing_(Citrus_greening)_04366073-7ca5-497a-91ae-87a48fcc0520___CREC_HLB 4090.JPG,doente,0.5877
Orange___Haunglongbing_(Citrus_greening)_0473880a-569c-48e8-942b-18e257dd517f___CREC_HLB 7770.JPG,doente,0.8168
Orange___Haunglongbing_(Citrus_greening)_051511f7-21be-454d-9e46-25808a8787b5___CREC_HLB 4881.JPG,saudavel,0.6892
Orange___Haunglongbing_(Citrus_greening)_060786c7-31fd-428e-b1e8-c2141078e344___CREC_HLB 7099.JPG,doente,0.9065
Orange___Haunglongbing_(Citrus_greening)_0618177f-c21e-4075-bf1c-ea3ac9cca3e4___UF.Citrus_HLB_Lab 9904.JPG,doente,0.9702
Orange___Haunglongbing_(Citrus_greening)_068215ce-b2fe-46b2-be51-4876fbbcfca5___CREC_HLB 7354.JPG,doente,0.6944
Orange___Haunglongbing_(Citrus_greening)_073082fd-1a63-4ffd-b81b-eebbc7964577___CREC_HLB 4056.JPG,doente,0.8174
Orange___Haunglongbing_(Citrus_greening)_07385527-7435-40e3-81d9-36c5c9f7a08a___CREC_HLB 4864.JPG,doente,0.8151
Orange___Haunglongbing_(Citrus_greening)_081546bd-22ec-481b-9dd4-d877f37cc22a___CREC_HLB 5121.JPG,doente,0.9605
Orange___Haunglongbing_(Citrus_greening)_0818064d-2a35-43c9-bfd9-ec712ae070e1___UF.Citrus_HLB_Lab 1007.JPG,doente,0.5675
Orange___Haunglongbing_(Citrus_greening)_082992fa-822f-4ae0-87bb-2d34ad94d93e___CREC_HLB 5677.JPG,saudavel,0.6084
Orange___Haunglongbing_(Citrus_greening)_0857104e-fafa-44ab-9ed8-4529a8be31b2___CREC_HLB 7092.JPG,doente,0.747
Orange___Haunglongbing_(Citrus_greening)_0867146e-5e93-4647-a9ed-71c737b6588f___UF.Citrus_HLB_Lab 1320.JPG,doente,0.6572
Orange___Haunglongbing_(Citrus_greening)_093416cf-8e82-42d0-a462-f8e99087bef5___UF.Citrus_HLB_Lab 0126.JPG,saudavel,0.6148
Orange___Haunglongbing_(Citrus_greening)_1018497f-4630-4491-88d2-666d45d37647___CREC_HLB 5268.JPG,saudavel,0.6267
Orange___Haunglongbing_(Citrus_greening)_10213080-e29e-4c5f-a870-df7b4b6e36bc___UF.Citrus_HLB_Lab 9753.JPG,doente,0.8672
Orange___Haunglongbing_(Citrus_greening)_103620b4-b2fa-4bb5-8cff-82e88d2de34f___CREC_HLB 4183.JPG,doente,0.9622
Orange___Haunglongbing_(Citrus_greening)_104380d9-879a-4748-95f6-2df05e8c3b07___CREC_HLB 4209.JPG,doente,0.7585
Orange___Haunglongbing_(Citrus_greening)_107761e9-4539-44b4-9c48-6c8dc0403dee___UF.Citrus_HLB_Lab 0858.JPG,doente,0.9636
Orange___Haunglongbing_(Citrus_greening)_1087179b-bb9c-41c9-a253-20afac26dcc0___CREC_HLB 4363.JPG,doente,0.8361
Orange___Haunglongbing_(Citrus_greening)_11281e98-333a-4252-9e79-be353024a033___CREC_HLB 4776.JPG,doente,0.5904
Orange___Haunglongbing_(Citrus_greening)_11462663-8b4f-4fe2-b787-625e63207ef9___CREC_HLB 6797.JPG,doente,0.5119
Orange___Haunglongbing_(Citrus_greening)_11472b6d-133d-4f75-b051-318f1fa15124___CREC_HLB 4281.JPG,doente,0.8037
Orange___Haunglongbing_(Citrus_greening)_11494244-eb1b-43b8-bdab-d6ccf0361241___CREC_HLB 4989.JPG,doente,0.9094
Peach___Bacterial_spot_00130039-8425-42e9-9dd9-15aead7271ff___Rut._Bact.S 3421.JPG,saudavel,0.5448
Peach___Bacterial_spot_00359c66-5d75-40ce-a5b7-6ef05959d2d2___Rut._Bact.S 1381.JPG,doente,0.5373
Peach___Bacterial_spot_004118fe-b351-4cad-83ca-280c77f82eaa___Rutg._Bact.S 1818.JPG,doente,0.9936
Peach___Bacterial_spot_005b14ab-17f0-40c3-af15-87abf7d4ac23___Rutg._Bact.S 2083.JPG,doente,0.9978
Peach___Bacterial_spot_0090cfcf-caf7-424d-b19c-533e09c6d24c___Rutg._Bact.S 2388.JPG,doente,0.9949
Peach___Bacterial_spot_00ddc106-692e-4c67-b2e8-569c924caf49___Rutg._Bact.S 1228.JPG,doente,0.9666
Peach___Bacterial_spot_00e6ad4a-5a62-48d7-ac68-9c0b8ec87f5f___Rut._Bact.S 1472.JPG,doente,0.9784
Peach___Bacterial_spot_00ec2d81-1ac8-464f-af9f-40e8c28d67eb___Rutg._Bact.S 2002.JPG,doente,0.9939
Peach___Bacterial_spot_00f87dfc-bf6c-481e-9022-bfb98224d4b7___Rutg._Bact.S 1965.JPG,doente,0.9615
Peach___Bacterial_spot_010eb44a-62fc-48fe-8386-5aee3589d103___Rut._Bact.S 1097.JPG,saudavel,0.644
Peach___Bacterial_spot_010f7f98-f2e8-43c5-b283-9ad62dd7752e___Rutg._Bact.S 2048.JPG,doente,0.7559
Peach___Bacterial_spot_01876b18-5738-4b4a-bca1-c89dcbe6ca61___Rut._Bact.S 1207.JPG,saudavel,0.6809
Peach___Bacterial_spot_01ba711d-8d26-4be8-994d-09f5b02fcbe9___Rut._Bact.S 3390.JPG,doente,0.9585
Peach___Bacterial_spot_01d603af-a737-43a5-918a-ada2e10823e6___Rut._Bact.S 1385.JPG,doente,0.6784
Peach___Bacterial_spot_022213cf-0757-451f-89f8-306c4f7defb0___Rut._Bact.S 1510.JPG,doente,0.9985
Peach___Bacterial_spot_024bd94b-67ab-4681-92d0-888fa5661fc8___Rutg._Bact.S 1732.JPG,doente,0.9941
Peach___Bacterial_spot_025f7944-f19e-4487-b477-7e86b023a1fc___Rut._Bact.S 1309.JPG,doente,0.88
Peach___Bacterial_spot_0261ef13-5de7-40cd-aa75-de57365fadd6___Rutg._Bact.S 2098.JPG,doente,0.9935
Peach___Bacterial_spot_0295d4b3-f225-486f-9d6f-403f299a6c9e___Rut._Bact.S 0883.JPG,doente,0.9177
Peach___Bacterial_spot_029f79e8-5e5e-4ec4-b230-0c933b433b23___Rutg._Bact.S 2355.JPG,doente,0.9775
Peach___Bacterial_spot_02a611d2-0d1a-4640-889e-7d52255e4129___Rutg._Bact.S 1653.JPG,doente,0.991
Peach___Bacterial_spot_02b8939d-ad9b-43e7-a6f3-8005ed5877a8___Rutg._Bact.S 1921.JPG,doente,0.9956
Peach___Bacterial_spot_02d4dbb4-cf3e-4101-a97d-f9a1885921dc___Rutg._Bact.S 1190.JPG,doente,0.7201
Peach___Bacterial_spot_02d63306-2fe8-4587-b456-de838f62db49___Rutg._Bact.S 1327.JPG,doente,0.9871
Peach___Bacterial_spot_02d9ae0a-10ac-4b60-9ecb-4fc5cbcda4c0___Rut._Bact.S 1113.JPG,doente,0.9925
Peach___Bacterial_spot_030738f0-435a-4565-af45-dcd80c6abbab___Rut._Bact.S 1355.JPG,saudavel,0.5953
Peach___Bacterial_spot_031301d3-7420-4471-811a-079757bedd75___Rut._Bact.S 1143.JPG,doente,0.9362
Peach___Bacterial_spot_036150ff-c7e6-4b15-99d1-2f606d78fb5e___Rutg._Bact.S 2290.JPG,doente,0.9949
Peach___Bacterial_spot_039f605b-6a83-45e7-a08c-99ef9fff5758___Rutg._Bact.S 2001.JPG,doente,0.9984
Peach___Bacterial_spot_03af86e0-1988-4f99-9e5f-0d7920fc974c___Rutg._Bact.S 1494.JPG,doente,0.9948
"Pepper,_bell___Bacterial_spot_0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964.JPG",doente,0.9906
"Pepper,_bell___Bacterial_spot_00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG",doente,0.9942
"Pepper,_bell___Bacterial_spot_01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262.JPG",doente,0.8987
"Pepper,_bell___Bacterial_spot_01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262_180deg.JPG",doente,0.9609
"Pepper,_bell___Bacterial_spot_01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262_flipTB.JPG",doente,0.8834
"Pepper,_bell___Bacterial_spot_0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169.JPG",doente,0.8931
"Pepper,_bell___Bacterial_spot_0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169_180deg.JPG",doente,0.9779
"Pepper,_bell___Bacterial_spot_0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169_flipTB.JPG",doente,0.9793
"Pepper,_bell___Bacterial_spot_018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045.JPG",doente,0.803
"Pepper,_bell___Bacterial_spot_01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120.JPG",doente,0.9699
"Pepper,_bell___Bacterial_spot_01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120_180deg.JPG",doente,0.9475
"Pepper,_bell___Bacterial_spot_01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120_flipTB.JPG",doente,0.932
"Pepper,_bell___Bacterial_spot_01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091.JPG",doente,0.9927
"Pepper,_bell___Bacterial_spot_024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889.JPG",doente,0.7832
"Pepper,_bell___Bacterial_spot_024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889_180deg.JPG",doente,0.8507
"Pepper,_bell___Bacterial_spot_02baf62e-11e2-4dde-97fb-e369b57d55d3___JR_B.Spot 8971.JPG",doente,0.773
"Pepper,_bell___Bacterial_spot_032aa7c4-0a95-4f09-b0bb-1242f4f32d82___NREC_B.Spot 1889.JPG",saudavel,0.8865
"Pepper,_bell___Bacterial_spot_03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG",doente,0.9284
"Pepper,_bell___Bacterial_spot_0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897.JPG",doente,0.9768
"Pepper,_bell___Bacterial_spot_0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897_180deg.JPG",doente,0.9755
"Pepper,_bell___Bacterial_spot_0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897_flipTB.JPG",doente,0.9897
"Pepper,_bell___Bacterial_spot_0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288.JPG",doente,0.9787
"Pepper,_bell___Bacterial_spot_0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288_180deg.JPG",doente,0.9919
"Pepper,_bell___Bacterial_spot_0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288_flipTB.JPG",doente,0.9585
"Pepper,_bell___Bacterial_spot_05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot 3327.JPG",saudavel,0.6753
"Pepper,_bell___Bacterial_spot_05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot 3327_180deg.JPG",doente,0.8012
"Pepper,_bell___Bacterial_spot_05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot 3327_flipTB.JPG",doente,0.7661
"Pepper,_bell___Bacterial_spot_0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot 3183_180deg.JPG",doente,0.9088
"Pepper,_bell___Bacterial_spot_0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot 3183_flipTB.JPG",doente,0.92
"Pepper,_bell___Bacterial_spot_055a84c4-8286-4b44-816a-66b82d3bd4bc___NREC_B.Spot 9105_180deg.JPG",doente,0.9217
Potato___Early_blight_001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,doente,0.9761
Potato___Early_blight_001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178_180deg.JPG,doente,0.9949
Potato___Early_blight_001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178_flipTB.JPG,doente,0.9852
Potato___Early_blight_009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885.JPG,doente,0.9881
Potato___Early_blight_0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015.JPG,doente,0.9638
Potato___Early_blight_0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015_180deg.JPG,doente,0.9805
Potato___Early_blight_0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015_flipTB.JPG,doente,0.9815
Potato___Early_blight_02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,doente,0.962
Potato___Early_blight_02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562_180deg.JPG,doente,0.9982
Potato___Early_blight_02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562_flipTB.JPG,doente,0.9983
